Y,TRANSPORTE,AGS,BC,BCS,CAM,COAH,COL,CHIS,CHIH,CDMX,DUR,GUA,GUE,HID,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QRO,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
2009,Total,411864,1475939,470410,169739,679745,214082,561920,1181161,4120535,432122,1251246,666071,821939,2659712,2913512,1499714,358219,309753,1890350,356439,1138679,426844,427389,776561,854368,889176,388266,932874,207279,1420654,492699,490875
2010,Total,430807,887957,491070,193774,707121,224012,597072,1214904,4280756,434032,1292029,714651,850074,2754043,3116697,1631215,393444,327257,1975586,383385,1207576,458836,452198,804579,874178,928336,412009,974099,212363,1506327,513792,504833
2011,Total,444089,917710,513262,192858,669216,239191,631045,1183578,4491912,448891,1345165,766356,869079,2861984,3651210,1705626,430372,344019,2084551,410571,1274347,469595,477732,837275,921540,891539,424349,1011735,227680,1595319,546483,492190
2012,Total,453992,1017113,403730,216918,706416,272760,669892,1229700,4651276,482018,1413600,828907,890710,2902432,4188044,1787512,457404,357431,2183614,436995,1334844,506714,510952,873672,981918,744447,455002,1038216,249495,1650671,575850,439592
2013,Total,470891,1072808,414151,240445,724207,268303,692111,1329906,4787187,502479,1511212,897975,919436,2953747,4667653,1935650,496008,370302,2297443,459248,1351836,503222,544365,920466,1038837,779137,483749,1074399,276973,1733364,605560,421768
2014,Total,488484,1100840,430758,266161,730670,283275,736909,1424601,4737749,533546,1610498,974898,945126,3112643,5185808,2095264,538864,380870,1797854,491863,1315969,574129,587888,962276,1099123,834881,513433,1108978,336104,1797417,638250,392042
2015,Total,516274,1123118,435662,262109,741515,298088,767497,1487207,4997606,561927,1746865,1029881,982192,3268321,5917351,1993193,550063,387063,1865729,513339,1366819,512754,634906,1015343,1137857,850974,546970,1132124,397124,1857852,674366,403909
2016,Total,543800,1169911,457900,284605,800196,312913,812927,1630738,5220651,595032,1883204,1076055,1014157,3429847,6576827,2078184,599601,396424,1997592,527466,1419604,498347,688047,1074426,1152605,967700,568367,1154222,445909,1919354,722719,434935
2017,Total,569134,1688177,492200,306254,924840,327683,854226,1536013,5471904,665694,1994985,1129506,785841,3605557,7271930,2487493,696518,413509,2129728,552387,1492217,713637,769307,1137791,1188477,1057012,589624,1175178,655367,1951430,770875,449028
2018,Total,611917,1755164,479090,325505,903194,341633,893901,1599601,5802469,636525,2041008,1182837,691046,3732984,7342919,2629954,790470,449029,2269029,665332,1553518,725124,815612,1195683,1203945,1317902,620335,1192246,663255,2061918,822902,467879
2019,Total,648759,1799518,497189,310299,970099,355900,935563,1672105,6084903,626728,2144119,1235599,661778,3910903,8170767,2741629,905051,475446,2385644,726322,1123451,785570,867895,1243194,1272755,1444942,642193,1225196,479825,2138830,873132,514384
2020,Total,676375,1885643,512741,322562,1005474,365627,993392,1725183,6145553,622534,2199695,1291009,644413,4036774,8571466,2511939,992042,494810,2476062,792328,1164392,778251,895799,1280233,1312670,1484070,663551,1248214,515952,2161372,902783,542769
2021,Total,701330,1923581,535821,344403,1039056,378993,1054901,1782627,6235773,633424,2276376,1373002,678840,4186105,8996664,2631755,1089441,519899,2568278,892937,1209348,805019,943144,1328813,1354016,1435992,697413,1275061,544563,2170143,942783,565895
1980,Autos,30230,260133,23250,11070,90509,24941,26650,191073,1601867,33300,79969,36076,42394,202910,212939,62968,69009,14653,186439,33109,123357,26643,8764,42503,49337,86583,19424,157752,12830,129843,43183,16334
1981,Autos,30428,299266,24759,12446,105342,26989,29377,211545,1706435,38392,86537,42643,42359,218395,240229,79274,76043,15440,217195,41850,142788,29850,13029,47815,51645,91074,26272,172639,14637,142697,46786,17187
1982,Autos,34167,329533,29487,17702,125893,41391,32504,242416,1707384,41532,95744,48064,45902,255167,276226,84873,88719,18410,211538,40866,150399,32215,13310,51659,52792,97673,28025,187164,16726,149056,48676,21684
1983,Autos,33896,359465,30675,18743,141052,42026,37393,276179,1542868,48096,104314,51438,49104,284383,316600,96517,91893,19015,214131,44490,173131,33880,15046,52821,56762,104704,31880,195981,18073,167583,50407,23690
1984,Autos,34153,370247,33280,20134,148564,45324,37421,292967,1564909,49998,112761,53941,50387,318898,358921,101828,96975,23447,241970,38351,178390,35555,15246,55474,60747,108761,35616,206327,20100,178815,54839,26180
1985,Autos,35403,381354,35296,21321,154506,47327,42980,307200,1614986,51647,119526,56314,52102,331669,484523,107432,100416,23953,253584,35537,186774,37546,16414,58806,64391,114672,38822,214580,20944,186861,57854,27102
1986,Autos,39585,377703,35687,22000,158169,49634,46485,309656,1359962,52805,120397,58713,53397,343961,535152,110407,114364,24223,262456,36788,192749,38861,17117,60686,93062,118219,40433,221190,21612,192704,67050,27695
